"title","abstract","authors","year","venue","article_url","pdf_url","source_used","paper_id","platform","topic","doi","url","llm_flag","ol_flag","decision_stage1","reason","source_file"
"Evaluating LLMs’ Mathematical and Coding Competency through Ontology-guided Interventions","","Pengfei Hong; Navonil Majumder; Deepanway Ghosal; Somak Aditya; Rada Mihalcea; Soujanya Poria","2025","Findings of the Association for Computational Linguistics: ACL 2025","https://aclanthology.org/2025.findings-acl.1172.pdf","https://aclanthology.org/2025.findings-acl.1172.pdf","openalex:doi|crossref:doi|unpaywall","hong-etal-2025-evaluating","ACL","OL","doi = ""10.18653/v1/2025.findings-acl.1172","url = ""https://aclanthology.org/2025.findings-acl.1172/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"Memory-augmented Query Reconstruction for LLM-based Knowledge Graph Reasoning","","Mufan Xu; Gewen Liang; Kehai Chen; Wei Wang; Xun Zhou; Muyun Yang; Tiejun Zhao; Min Zhang","2025","Findings of the Association for Computational Linguistics: ACL 2025","https://aclanthology.org/2025.findings-acl.1234.pdf","https://aclanthology.org/2025.findings-acl.1234.pdf","openalex:doi|crossref:doi|unpaywall","xu-etal-2025-memory","ACL","OL","doi = ""10.18653/v1/2025.findings-acl.1234","url = ""https://aclanthology.org/2025.findings-acl.1234/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"KARPA: A Training-free Method of Adapting Knowledge Graph as References for Large Language Model’s Reasoning Path Aggregation","","Siyuan Fang; Kaijing Ma; Tianyu Zheng; Xeron Du; Ningxuan Lu; Ge Zhang; Qingkun Tang","2025","Findings of the Association for Computational Linguistics: ACL 2025","https://aclanthology.org/2025.findings-acl.1269.pdf","https://aclanthology.org/2025.findings-acl.1269.pdf","openalex:doi|crossref:doi|unpaywall","fang-etal-2025-karpa","ACL","OL","doi = ""10.18653/v1/2025.findings-acl.1269","url = ""https://aclanthology.org/2025.findings-acl.1269/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"Enhancing LLM-based Hatred and Toxicity Detection with Meta-Toxic Knowledge Graph","","Yibo Zhao; Jiapeng Zhu; Can Xu; Yao Liu; Xiang Li","2025","Findings of the Association for Computational Linguistics: ACL 2025","https://aclanthology.org/2025.findings-acl.1270.pdf","https://aclanthology.org/2025.findings-acl.1270.pdf","openalex:doi|crossref:doi|unpaywall","zhao-etal-2025-enhancing-llm","ACL","OL","doi = ""10.18653/v1/2025.findings-acl.1270","url = ""https://aclanthology.org/2025.findings-acl.1270/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"title = ""From Superficial to Deep: Integrating External Knowledge for Follow-up Question Generation Using Knowledge Graph and {LLM","","","2025","booktitle = ""Proceedings of the 31st International Conference on Computational Linguistics","url = ""https://aclanthology.org/2025.coling-main.55/","","none","liu-etal-2025-superficial","ACL","OL","","url = ""https://aclanthology.org/2025.coling-main.55/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"title = ""{KG}-{FPQ}: Evaluating Factuality Hallucination in {LLM}s with Knowledge Graph-based False Premise Questions","","","2025","booktitle = ""Proceedings of the 31st International Conference on Computational Linguistics","url = ""https://aclanthology.org/2025.coling-main.698/","","none","zhu-etal-2025-kg","ACL","OL","","url = ""https://aclanthology.org/2025.coling-main.698/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"HyKGE: A Hypothesis Knowledge Graph Enhanced RAG Framework for Accurate and Reliable Medical LLMs Responses","","Xinke Jiang; Ruizhe Zhang; Yongxin Xu; Rihong Qiu; Yue Fang; Zhiyuan Wang; Jinyi Tang; Hongxin Ding; Xu Chu; Junfeng Zhao; Yasha Wang","2025","Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)","https://aclanthology.org/2025.acl-long.580.pdf","https://aclanthology.org/2025.acl-long.580.pdf","openalex:doi|crossref:doi|unpaywall","jiang-etal-2025-hykge","ACL","OL","doi = ""10.18653/v1/2025.acl-long.580","url = ""https://aclanthology.org/2025.acl-long.580/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"Knowledge Graph Retrieval-Augmented Generation for LLM-based Recommendation","","Shijie Wang; Wenqi Fan; Yue Feng; Lin Shanru; Xinyu Ma; Shuaiqiang Wang; Dawei Yin","2025","Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)","https://aclanthology.org/2025.acl-long.1317.pdf","https://aclanthology.org/2025.acl-long.1317.pdf","openalex:doi|crossref:doi|unpaywall","wang-etal-2025-knowledge-graph","ACL","OL","doi = ""10.18653/v1/2025.acl-long.1317","url = ""https://aclanthology.org/2025.acl-long.1317/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"NU at WASSA 2024 Empathy and Personality Shared Task: Enhancing Personality Predictions with Knowledge Graphs; A Graphical Neural Network and LightGBM Ensemble Approach","","Emmanuel Osei-Brefo; Huizhi Liang","2024","Proceedings of the 14th Workshop on Computational Approaches to Subjectivity, Sentiment, &amp; Social Media Analysis","","","openalex:doi|crossref:doi|unpaywall","osei-brefo-liang-2024-nu","ACL","OL","doi = ""10.18653/v1/2024.wassa-1.36","url = ""https://aclanthology.org/2024.wassa-1.36/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"title = ""{J}elly{B}ell at {T}ext{G}raphs-17 Shared Task: Fusing Large Language Models with External Knowledge for Enhanced Question Answering","","","2024","booktitle = ""Proceedings of TextGraphs-17: Graph-based Methods for Natural Language Processing","url = ""https://aclanthology.org/2024.textgraphs-1.15/","","none","belikova-etal-2024-jellybell","ACL","OL","","url = ""https://aclanthology.org/2024.textgraphs-1.15/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"title = ""{EATT}: Knowledge Graph Integration in Transformer Architecture","","","2024","booktitle = ""Proceedings of the 38th Pacific Asia Conference on Language","url = ""https://aclanthology.org/2024.paclic-1.46/","","none","vo-nguyen-2024-eatt","ACL","OL","","url = ""https://aclanthology.org/2024.paclic-1.46/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"title = ""{DD}x{G}ym: Online Transformer Policies in a Knowledge Graph Based Natural Language Environment","","","2024","booktitle = ""Proceedings of the 2024 Joint International Conference on Computational Linguistics","url = ""https://aclanthology.org/2024.lrec-main.396/","","none","winter-etal-2024-ddxgym","ACL","OL","","url = ""https://aclanthology.org/2024.lrec-main.396/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"Multi-hop Database Reasoning with Virtual Knowledge Graph","","Juhee Son; Yeon Seonwoo; Seunghyun Yoon; James Thorne; Alice Oh","2024","Proceedings of the 1st Workshop on Knowledge Graphs and Large Language Models (KaLLM 2024)","","","openalex:doi|crossref:doi|unpaywall","son-etal-2024-multi","ACL","OL","doi = ""10.18653/v1/2024.kallm-1.1","url = ""https://aclanthology.org/2024.kallm-1.1/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"Adapting Multilingual LLMs to Low-Resource Languages with Knowledge Graphs via Adapters","","Daniil Gurgurov; Mareike Hartmann; Simon Ostermann","2024","Proceedings of the 1st Workshop on Knowledge Graphs and Large Language Models (KaLLM 2024)","","","openalex:doi|crossref:doi|unpaywall","gurgurov-etal-2024-adapting","ACL","OL","doi = ""10.18653/v1/2024.kallm-1.7","url = ""https://aclanthology.org/2024.kallm-1.7/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"title = ""{LOC}: Livestock Ontology Construction Approach From Domain based Text Documents","","","2024","booktitle = ""Proceedings of the 21st International Conference on Natural Language Processing (ICON)","url = ""https://aclanthology.org/2024.icon-1.53/","","none","prakash-etal-2024-loc","ACL","OL","","url = ""https://aclanthology.org/2024.icon-1.53/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"title = ""Contextualization Distillation from Large Language Model for Knowledge Graph Completion","","","2024","booktitle = ""Findings of the Association for Computational Linguistics: EACL 2024","url = ""https://aclanthology.org/2024.findings-eacl.32/","","none","li-etal-2024-contextualization","ACL","OL","","url = ""https://aclanthology.org/2024.findings-eacl.32/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"LLM as Prompter: Low-resource Inductive Reasoning on Arbitrary Knowledge Graphs","","Kai Wang; Yuwei Xu; Zhiyong Wu; Siqiang Luo","2024","Findings of the Association for Computational Linguistics ACL 2024","","","openalex:doi|crossref:doi|unpaywall","wang-etal-2024-llm","ACL","OL","doi = ""10.18653/v1/2024.findings-acl.224","url = ""https://aclanthology.org/2024.findings-acl.224/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"A Framework of Knowledge Graph-Enhanced Large Language Model Based on Question Decomposition and Atomic Retrieval","","Yading Li; Dandan Song; Changzhi Zhou; Yuhang Tian; Hao Wang; Ziyi Yang; Shuhao Zhang","2024","Findings of the Association for Computational Linguistics: EMNLP 2024","","","openalex:doi|crossref:doi|unpaywall","li-etal-2024-framework","ACL","OL","doi = ""10.18653/v1/2024.findings-emnlp.670","url = ""https://aclanthology.org/2024.findings-emnlp.670/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"LLM-Based Multi-Hop Question Answering with Knowledge Graph Integration in Evolving Environments","","Ruirui Chen; Weifeng Jiang; Chengwei Qin; Ishaan Singh Rawal; Cheston Tan; Dongkyu Choi; Bo Xiong; Bo Ai","2024","Findings of the Association for Computational Linguistics: EMNLP 2024","","","openalex:doi|crossref:doi|unpaywall","chen-etal-2024-llm","ACL","OL","doi = ""10.18653/v1/2024.findings-emnlp.844","url = ""https://aclanthology.org/2024.findings-emnlp.844/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"Generate-on-Graph: Treat LLM as both Agent and KG for Incomplete Knowledge Graph Question Answering","","Yao Xu; Shizhu He; Jiabei Chen; Zihao Wang; Yangqiu Song; Hanghang Tong; Guang Liu; Jun Zhao; Kang Liu","2024","Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing","","","openalex:doi|crossref:doi|unpaywall","xu-etal-2024-generate","ACL","OL","doi = ""10.18653/v1/2024.emnlp-main.1023","url = ""https://aclanthology.org/2024.emnlp-main.1023/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"Fine-tuning and Prompt Engineering with Cognitive Knowledge Graphs for Scholarly Knowledge Organization","The increasing amount of published scholarly articles, exceeding 2.5 million yearly, raises the challenge for researchers in following scientific progress. Integrating the contributions from scholarly articles into a novel type of cognitive knowledge graph (CKG) will be a crucial element for accessing and organizing scholarly knowledge, surpassing the insights provided by titles and abstracts. This research focuses on effectively conveying structured scholarly knowledge by utilizing large language models (LLMs) to categorize scholarly articles and describe their contributions in a structured and comparable manner. While previous studies explored language models within specific research domains, the extensive domain-independent knowledge captured by LLMs offers a substantial opportunity for generating structured contribution descriptions as CKGs. Additionally, LLMs offer customizable pathways through prompt engineering or fine-tuning, thus facilitating to leveraging of smaller LLMs known for their efficiency, cost-effectiveness, and environmental considerations. Our methodology involves harnessing LLM knowledge, and complementing it with domain expert-verified scholarly data sourced from a CKG. This strategic fusion significantly enhances LLM performance, especially in tasks like scholarly article categorization and predicate recommendation. Our method involves fine-tuning LLMs with CKG knowledge and additionally injecting knowledge from a CKG with a novel prompting technique significantly increasing the accuracy of scholarly knowledge extraction. We integrated our approach in the Open Research Knowledge Graph (ORKG), thus enabling precise access to organized scholarly knowledge, crucially benefiting domain-independent scholarly knowledge exchange and dissemination among policymakers, industrial practitioners, and the general public.","Gollam Rabby; Sören Auer; Jennifer D'Souza; Allard Oelen","2024","arXiv","https://arxiv.org/abs/2409.06433","http://arxiv.org/pdf/2409.06433v1","openalex:doi|crossref:doi|unpaywall|arxiv:title","zhang-etal-2024-knowledge-graph","ACL","OL","doi = ""10.18653/v1/2024.emnlp-main.1261","url = ""https://aclanthology.org/2024.emnlp-main.1261/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"title = ""Deductive Verification of {LLM} Generated {SPARQL} Queries","","","2024","booktitle = ""Proceedings of the Workshop on Deep Learning and Linked Data (DLnLD) @ LREC-COLING 2024","url = ""https://aclanthology.org/2024.dlnld-1.4/","","none","rademaker-etal-2024-deductive","ACL","OL","","url = ""https://aclanthology.org/2024.dlnld-1.4/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"title = ""Can {GPT}-4 Recover Latent Semantic Relational Information from Word Associations? A Detailed Analysis of Agreement with Human-annotated Semantic Ontologies.","","","2024","booktitle = ""Proceedings of the Workshop on Cognitive Aspects of the Lexicon @ LREC-COLING 2024","url = ""https://aclanthology.org/2024.cogalex-1.8/","","none","de-deyne-etal-2024-gpt","ACL","OL","","url = ""https://aclanthology.org/2024.cogalex-1.8/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"HSE NLP Team at MEDIQA-CORR 2024 Task: In-Prompt Ensemble with Entities and Knowledge Graph for Medical Error Correction","","Airat Valiev; Elena Tutubalina","2024","Proceedings of the 6th Clinical Natural Language Processing Workshop","","","openalex:doi|crossref:doi|unpaywall","valiev-tutubalina-2024-hse","ACL","OL","doi = ""10.18653/v1/2024.clinicalnlp-1.47","url = ""https://aclanthology.org/2024.clinicalnlp-1.47/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"Structuring Sustainability Reports for Environmental Standards with LLMs guided by Ontology","","Aida Usmanova; Ricardo Usbeck","2024","Proceedings of the 1st Workshop on Natural Language Processing Meets Climate Change (ClimateNLP 2024)","http://fox.leuphana.de/portal/de/publications/structuring-sustainability-reports-for-environmental-standards-with-llms-guided-by-ontology(bb2dc8c6-f29c-4401-be1b-ae67a6cd4364).html","","openalex:doi|crossref:doi|unpaywall","usmanova-usbeck-2024-structuring","ACL","OL","doi = ""10.18653/v1/2024.climatenlp-1.13","url = ""https://aclanthology.org/2024.climatenlp-1.13/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"Structured Legal Document Generation in India: A Model-Agnostic Wrapper Approach with VidhikDastaavej","Automating legal document drafting can significantly enhance efficiency, reduce manual effort, and streamline legal workflows. While prior research has explored tasks such as judgment prediction and case summarization, the structured generation of private legal documents in the Indian legal domain remains largely unaddressed. To bridge this gap, we introduce VidhikDastaavej, a novel, anonymized dataset of private legal documents, and develop NyayaShilp, a fine-tuned legal document generation model specifically adapted to Indian legal texts. We propose a Model-Agnostic Wrapper (MAW), a two-step framework that first generates structured section titles and then iteratively produces content while leveraging retrieval-based mechanisms to ensure coherence and factual accuracy. We benchmark multiple open-source LLMs, including instruction-tuned and domain-adapted versions, alongside proprietary models for comparison. Our findings indicate that while direct fine-tuning on small datasets does not always yield improvements, our structured wrapper significantly enhances coherence, factual adherence, and overall document quality while mitigating hallucinations. To ensure real-world applicability, we developed a Human-in-the-Loop (HITL) Document Generation System, an interactive user interface that enables users to specify document types, refine section details, and generate structured legal drafts. This tool allows legal professionals and researchers to generate, validate, and refine AI-generated legal documents efficiently. Extensive evaluations, including expert assessments, confirm that our framework achieves high reliability in structured legal drafting. This research establishes a scalable and adaptable foundation for AI-assisted legal drafting in India, offering an effective approach to structured legal document generation.","Shubham Kumar Nigam; Balaramamahanthi Deepak Patnaik; Ajay Varghese Thomas; Noel Shallum; Kripabandhu Ghosh; Arnab Bhattacharya","2025","arXiv","https://arxiv.org/abs/2504.03486","http://arxiv.org/pdf/2504.03486v1","arxiv:title","penkov-2024-mitigating","ACL","OL","","url = ""https://aclanthology.org/2024.clib-1.30/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"Leveraging Codebook Knowledge with NLI and ChatGPT for Zero-Shot Political Relation Classification","","Yibo Hu; Erick Skorupa Parolin; Latifur Khan; Patrick Brandt; Javier Osorio; Vito D’Orazio","2024","Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)","","","openalex:doi|crossref:doi|unpaywall","hu-etal-2024-leveraging","ACL","OL","doi = ""10.18653/v1/2024.acl-long.35","url = ""https://aclanthology.org/2024.acl-long.35/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"Bi-Directional Multi-Granularity Generation Framework for Knowledge Graph-to-Text with Large Language Model","","Haowei Du; Chen Li; Dinghao Zhang; Dongyan Zhao","2024","Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 2: Short Papers)","","","openalex:doi|crossref:doi|unpaywall","du-etal-2024-bi","ACL","OL","doi = ""10.18653/v1/2024.acl-short.14","url = ""https://aclanthology.org/2024.acl-short.14/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"CogMG: Collaborative Augmentation Between Large Language Model and Knowledge Graph","","Tong Zhou; Yubo Chen; Kang Liu; Jun Zhao","2024","Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 3: System Demonstrations)","","","openalex:doi|crossref:doi|unpaywall","zhou-etal-2024-cogmg","ACL","OL","doi = ""10.18653/v1/2024.acl-demos.35","url = ""https://aclanthology.org/2024.acl-demos.35/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"title = ""Leveraging Multilingual Knowledge Graph to Boost Domain-specific Entity Translation of {C}hat{GPT","","","2023","booktitle = ""Proceedings of Machine Translation Summit XIX","url = ""https://aclanthology.org/2023.mtsummit-users.7/","","none","zhang-etal-2023-leveraging","ACL","OL","","url = ""https://aclanthology.org/2023.mtsummit-users.7/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"title = ""{W}eb{NLG}-Interno: Utilizing {FRED}-T5 to address the {RDF}-to-text problem ({W}eb{NLG} 2023)","","","2023","booktitle = ""Proceedings of the Workshop on Multimodal","url = ""https://aclanthology.org/2023.mmnlg-1.7/","","none","kazakov-etal-2023-webnlg","ACL","OL","","url = ""https://aclanthology.org/2023.mmnlg-1.7/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"Extending an Event-type Ontology: Adding Verbs and Classes Using Fine-tuned LLMs Suggestions","In this project, we have investigated the use of advanced machine learning methods, specifically fine-tuned large language models, for pre-annotating data for a lexical extension task, namely adding descriptive words (verbs) to an existing (but incomplete, as of yet) ontology of event types. Several research questions have been focused on, from the investigation of a possible heuristics to provide at least hints to annotators which verbs to include and which are outside the current version of the ontology, to the possible use of the automatic scores to help the annotators to be more efficient in finding a threshold for identifying verbs that cannot be assigned to any existing class and therefore they are to be used as seeds for a new class. We have also carefully examined the correlation of the automatic scores with the human annotation. While the correlation turned out to be strong, its influence on the annotation proper is modest due to its near linearity, even though the mere fact of such pre-annotation leads to relatively short annotation times.","Jana Straková; Eva Fučíková; Jan Hajič; Zdeňka Urešová","2023","booktitle = ""Proceedings of the 17th Linguistic Annotation Workshop (LAW-XVII)","https://doi.org/10.18653/v1/2023.law-1.9","https://aclanthology.org/2023.law-1.9.pdf","openalex:doi","strakova-etal-2023-extending","ACL","OL","doi = ""10.18653/v1/2023.law-1.9","url = ""https://aclanthology.org/2023.law-1.9/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
"Multi-Modal Knowledge Graph Transformer Framework for Multi-Modal Entity Alignment","Multi-Modal Entity Alignment (MMEA) is a critical task that aims to identify equivalent entity pairs across multi-modal knowledge graphs (MMKGs). However, this task faces challenges due to the presence of different types of information, including neighboring entities, multi-modal attributes, and entity types. Directly incorporating the above information (e.g., concatenation or attention) can lead to an unaligned information space. To address these challenges, we propose a novel MMEA transformer, called Meaformer, that hierarchically introduces neighbor features, multi-modal attributes, and entity types to enhance the alignment task. Taking advantage of the transformer’s ability to better integrate multiple information, we design a hierarchical modifiable self-attention block in a transformer encoder to preserve the unique semantics of different information. Furthermore, we design two entity-type prefix injection methods to redintegrate entity-type information using type prefixes, which help to restrict the global information of entities not present in the MMKGs.","Qian Li; Cheng Ji; Shu Guo; Zhaoji Liang; Lihong Wang; Jianchun Li","2023","booktitle = ""Findings of the Association for Computational Linguistics: EMNLP 2023","https://doi.org/10.18653/v1/2023.findings-emnlp.70","https://aclanthology.org/2023.findings-emnlp.70.pdf","openalex:doi","li-etal-2023-multi-modal-knowledge","ACL","OL","doi = ""10.18653/v1/2023.findings-emnlp.70","url = ""https://aclanthology.org/2023.findings-emnlp.70/","true","true","include","LLM+OL terms in t/abs","screening/acl/OL/20251021_acl_OL_llm_screen.csv"
